Date,S&P 500 Daily Performance,NASDAQ 100 Daily Performance,1-Year Treasury Bond Rate,5-Year Treasury Bond Rate,10-Year Treasury Bond Rate,30-Year Treasury Bond Rate,Bitcoin Futures Volume,Bitcoin Futures Returns
2022-06-13 00:00:00-04:00,-2.3063200183295507,-1.6027463832162747,1.4980000257492065,3.365999937057495,3.365999937057495,3.365999937057495,18646.0,-15.518186803143848
2022-06-14 00:00:00-04:00,-0.7450482239228905,-0.6454817563677561,1.7430000305175781,3.4830000400543213,3.4830000400543213,3.4830000400543213,16480.0,-3.8461538461538463
2022-06-15 00:00:00-04:00,0.6891497474728311,1.0955548090347187,1.6950000524520874,3.3949999809265137,3.3949999809265137,3.3949999809265137,19873.0,0.7688723205964585
2022-06-16 00:00:00-04:00,-1.6471820897965865,-1.4113727103576774,1.4830000400543213,3.306999921798706,3.306999921798706,3.306999921798706,9773.0,-6.20347394540943
2022-06-17 00:00:00-04:00,0.24387424056939466,0.8354315268678031,1.5099999904632568,3.239000082015991,3.239000082015991,3.239000082015991,8720.0,-0.8476628723661903
2022-06-18 00:00:00-04:00,,,1.5099999904632568,3.239000082015991,3.239000082015991,3.239000082015991,,
2022-06-19 00:00:00-04:00,,,1.5099999904632568,3.239000082015991,3.239000082015991,3.239000082015991,,
2022-06-20 00:00:00-04:00,,,1.5099999904632568,3.239000082015991,3.239000082015991,3.239000082015991,8720.0,0.0980872976949485
2022-06-21 00:00:00-04:00,1.3317860336931944,0.8716647778634309,1.4880000352859497,3.306999921798706,3.306999921798706,3.306999921798706,18029.0,2.30505149583129
2022-06-22 00:00:00-04:00,0.6963247644682923,0.8747987310893534,1.5449999570846558,3.1559998989105225,3.1559998989105225,3.1559998989105225,13382.0,-3.895793499043977
2022-06-23 00:00:00-04:00,0.5568644941935987,0.6503980331097671,1.559999942779541,3.068000078201294,3.068000078201294,3.068000078201294,10083.0,4.78816746051642
2022-06-24 00:00:00-04:00,2.354680191911428,2.3581685003885378,1.5980000495910645,3.125,3.125,3.125,7037.0,2.251207283630665
2022-06-25 00:00:00-04:00,,,1.5980000495910645,3.125,3.125,3.125,,
2022-06-26 00:00:00-04:00,,,1.5980000495910645,3.125,3.125,3.125,,
2022-06-27 00:00:00-04:00,-0.526681110098968,-1.2312084127193221,1.6330000162124634,3.194000005722046,3.194000005722046,3.194000005722046,5894.0,-2.6217228464419478
2022-06-28 00:00:00-04:00,-2.3370802752843085,-3.190745104002875,1.7380000352859497,3.2060000896453857,3.2060000896453857,3.2060000896453857,5868.0,-2.8413195280520105
2022-06-29 00:00:00-04:00,-0.16365653152700332,0.33780847758749344,1.7050000429153442,3.0929999351501465,3.0929999351501465,3.0929999351501465,6703.0,-0.5174963035978314
